date,area,employee_satisf,cust_satisf,estado,codigo
2014-01-01,Marketing,0.8920290290037778,0.8279784055388342,Ciudad de México,CMX
2014-01-01,Marketing,0.772710499560117,0.7629810434426652,Aguascalientes,AGU
2014-01-01,Marketing,0.7752430408694857,0.7493796744963689,Baja California,BCN
2014-01-01,Marketing,0.8044783515067201,0.7060718706610363,Baja California Sur,BCS
2014-01-01,Marketing,0.7413111168700235,0.6965662761291949,Campeche,CAM
2014-01-01,Marketing,0.8401686947739871,0.7284412946611115,Coahuila de Zaragoza,COA
2014-01-01,Marketing,0.8345558009673003,0.7578895631627915,Colima,COL
2014-01-01,Marketing,0.8002730448387577,0.6942659038885032,Chiapas,CHP
2014-01-01,Marketing,0.7706588542082723,0.771278408953656,Chihuahua,CHH
2014-01-01,Marketing,0.7683336958974174,0.791921239168095,Durango,DUR
2014-01-01,Marketing,0.838979116914629,0.7072017472889313,Guanajuato,GUA
2014-01-01,Marketing,0.7866054292962581,0.722222039457818,Guerrero,GRO
2014-01-01,Marketing,0.7953960822498286,0.717775776446849,Hidalgo,HID
2014-01-01,Marketing,0.8721341873326821,0.8182879164707796,Jalisco,JAL
2014-01-01,Marketing,0.8479067751907904,0.817098883855528,México,MEX
2014-01-01,Marketing,0.8617734988919592,0.6632546150132945,Michoacán de Ocampo,MIC
2014-01-01,Marketing,0.7651884780932496,0.6877316274876707,Morelos,MOR
2014-01-01,Marketing,0.7637606487893549,0.7554772812477764,Nayarit,NAY
2014-01-01,Marketing,0.8562346886981794,0.8546696492051844,Nuevo León,NLE
2014-01-01,Marketing,0.7734313870793695,0.7710301377537538,Oaxaca,OAX
2014-01-01,Marketing,0.7537565890892468,0.708429399173348,Puebla,PUE
2014-01-01,Marketing,0.8969969122789097,0.8537025756952378,Querétaro,QUE
2014-01-01,Marketing,0.8022467941651371,0.6442285797116208,Quintana Roo,ROO
2014-01-01,Marketing,0.7995739043570662,0.6630903764089571,San Luis Potosí,SLP
2014-01-01,Marketing,0.8299533903044362,0.7653293268985681,Sinaloa,SIN
2014-01-01,Marketing,0.8028588306463952,0.8276803344813475,Sonora,SON
2014-01-01,Marketing,0.8419156741838175,0.7628653202430783,Tabasco,TAB
2014-01-01,Marketing,0.8089997430289527,0.8344482554720303,Tamaulipas,TAM
2014-01-01,Marketing,0.8122375995608269,0.7526547498207903,Tlaxcala,TLA
2014-01-01,Marketing,0.7987778534291406,0.7627199025836503,Veracruz de Ignacio de la Llave,VER
2014-01-01,Marketing,0.8369952708332575,0.7497215499615032,Yucatán,YUC
2014-01-01,Marketing,0.7399155796841069,0.7889165771077078,Zacatecas,ZAC
2014-01-01,Recursos Humanos,0.8395325913757363,0.7270030226466984,Ciudad de México,CMX
2014-01-01,Recursos Humanos,0.7272360281855775,0.6699323570449486,Aguascalientes,AGU
2014-01-01,Recursos Humanos,0.7296195279362471,0.6579897311625075,Baja California,BCN
2014-01-01,Recursos Humanos,0.7571343231961758,0.6199634926980064,Baja California Sur,BCS
2014-01-01,Recursos Humanos,0.697684517797118,0.6116171446405286,Campeche,CAM
2014-01-01,Recursos Humanos,0.7907242685858694,0.6396048731423876,Coahuila de Zaragoza,COA
2014-01-01,Recursos Humanos,0.7854416969100269,0.6654618037932544,Colima,COL
2014-01-01,Recursos Humanos,0.7531765013207745,0.6095973122861967,Chiapas,CHP
2014-01-01,Recursos Humanos,0.72530512338,0.6772178245959641,Chihuahua,CHH
